btc weight,eth weight,xrp weight,returns,std,sharpe ratio
0.0,0.0,1.0,1.7884057261129733,1.2068647266334376,1.481860963077238
0.0,0.05,0.95,1.854987217632627,1.1809701754042106,1.5707316376535256
0.0,0.1,0.9,1.9215687091522808,1.1566961107329818,1.6612563069262938
0.0,0.15,0.85,1.9881502006719345,1.134146586894157,1.7529922707050183
0.0,0.2,0.8,2.0547316921915884,1.1134263869384584,1.8454131465676842
0.0,0.25,0.75,2.121313183711242,1.0946393964618204,1.9379105032834716
0.0,0.3,0.7,2.1878946752308956,1.0778867046355436,2.029800224663379
0.0,0.35,0.65,2.2544761667505493,1.0632644724442504,2.1203343337221843
0.0,0.4,0.6,2.3210576582702034,1.0508616366023327,2.2087186147309503
0.0,0.45,0.55,2.387639149789857,1.0407575465934518,2.294135802911006
0.0,0.5,0.5,2.4542206413095107,1.033019657551691,2.3757734166706355
0.0,0.55,0.45,2.5208021328291643,1.0277014184934796,2.4528545815616756
0.0,0.6,0.4,2.587383624348818,1.0248404992227387,2.5246695718125367
0.0,0.65,0.35,2.6539651158684716,1.0244574870188703,2.5906054174989754
0.0,0.7,0.3,2.7205466073881253,1.0265551554394095,2.650170907011436
0.0,0.75,0.25,2.7871280989077793,1.031118364785414,2.703014701408997
0.0,0.8,0.2,2.8537095904274334,1.0381146024522374,2.7489350247905118
0.0,0.85,0.15,2.920291081947087,1.047495118861989,2.787880372292069
0.0,0.9,0.1,2.9868725734667403,1.059196568557094,2.8199417012232684
0.0,0.95,0.05,3.053454064986394,1.0731430325147053,2.845337455000019
0.0,1.0,0.0,3.120035556506048,1.0892482803359838,2.864393373697738
0.05,0.0,0.95,1.7252309752092267,1.1552479659767552,1.493385858291085
0.05,0.05,0.9,1.7918124667288804,1.1295508744693354,1.586305236203439
0.05,0.1,0.85,1.8583939582485343,1.1055585663924619,1.6809547813578458
0.05,0.15,0.8,1.924975449768188,1.08338430855416,1.7768168087436866
0.05,0.2,0.75,1.991556941287842,1.0631418658426073,1.8732748707148381
0.05,0.25,0.7,2.0581384328074956,1.044943512531433,1.9696169296477495
0.05,0.3,0.65,2.124719924327149,1.0288977171925608,2.0650448424792276
0.05,0.35,0.6,2.191301415846803,1.0151065614480592,2.1586910173458937
0.05,0.4,0.55,2.2578829073664566,1.0036629914139736,2.249642486254795
0.05,0.45,0.5,2.3244643988861102,0.9946480383339094,2.336971782279606
0.05,0.5,0.45,2.3910458904057643,0.9881281751763012,2.4197730117139464
0.05,0.55,0.4,2.457627381925418,0.9841529919587223,2.4972005389467906
0.05,0.6,0.35,2.5242088734450716,0.9827533684366935,2.5685069667687177
0.05,0.65,0.3,2.5907903649647253,0.9839402956248589,2.6330767999692744
0.05,0.7,0.25,2.657371856484379,0.9877044487716488,2.690452452440808
0.05,0.75,0.2,2.723953348004033,0.9940165499027586,2.7403500960527354
0.05,0.8,0.15,2.7905348395236866,1.002828487542194,2.7826641087579542
0.05,0.85,0.1,2.8571163310433403,1.0140750958188702,2.817460307252892
0.05,0.9,0.05,2.923697822562994,1.0276764447442794,2.8449594592882868
0.05,0.95,0.0,2.9902793140826476,1.0435404643772743,2.865513524544615
0.1,0.0,0.9,1.6620562243054806,1.1038289349075943,1.5057190219828924
0.1,0.05,0.85,1.7286377158251343,1.0783528462330894,1.6030353347363298
0.1,0.1,0.8,1.7952192073447881,1.05467466785122,1.7021544766997614
0.1,0.15,0.75,1.8618006988644416,1.032918050778212,1.8024669986759743
0.1,0.2,0.7,1.9283821903840954,1.0132067877921793,1.903246418814586
0.1,0.25,0.65,1.994963681903749,0.9956623627621648,2.0036548096177142
0.1,0.3,0.6,2.061545173423403,0.9804011102617293,2.1027568735341906
0.1,0.35,0.55,2.1281266649430566,0.9675310764890349,2.199543473751331
0.1,0.4,0.5,2.1947081564627107,0.9571487248750504,2.292964613988506
0.1,0.45,0.45,2.261289647982364,0.9493356780802793,2.3819705718372264
0.1,0.5,0.4,2.327871139502018,0.9441557225429804,2.4655584708337637
0.1,0.55,0.35,2.3944526310216716,0.9416523125514406,2.5428203160610487
0.1,0.6,0.3,2.4610341225413253,0.9418467909615655,2.6129877450968073
0.1,0.65,0.25,2.527615614060979,0.944737491657882,2.6754687269003874
0.1,0.7,0.2,2.5941971055806325,0.9502998101819021,2.7298722758705622
0.1,0.75,0.15,2.6607785971002866,0.9584872356519916,2.7760188118627847
0.1,0.8,0.1,2.7273600886199403,0.969233244978802,2.813935760818429
0.1,0.85,0.05,2.793941580139594,0.9824538849354636,2.843839922647489
0.1,0.9,0.0,2.8605230716592476,0.9980508200816914,2.866109635003467
0.15,0.0,0.85,1.598881473401734,1.052636609818134,1.5189301402674718
0.15,0.05,0.8,1.6654629649213877,1.027409170724082,1.6210318268306168
0.15,0.1,0.75,1.7320444564410415,1.0040829778632752,1.725001314260794
0.15,0.15,0.7,1.7986259479606952,0.982793416425814,1.8301159917227265
0.15,0.2,0.65,1.8652074394803488,0.9636754759219357,1.9355140668033803
0.15,0.25,0.6,1.9317889310000027,0.9468607062314498,2.0402039268147623
0.15,0.3,0.55,1.9983704225196566,0.9324737109994979,2.143084999552049
0.15,0.35,0.5,2.0649519140393098,0.9206283164195718,2.242981100201374
0.15,0.4,0.45,2.131533405558964,0.9114236242660161,2.3386857097055405
0.15,0.45,0.4,2.1981148970786175,0.904940218652685,2.429016692783605
0.15,0.5,0.35,2.264696388598271,0.901236831464651,2.5128759827955376
0.15,0.55,0.3,2.3312778801179252,0.9003477683817641,2.5893082228748527
